id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18064340,11243800,10024450,27/12/25 at 06:30,10.024.450 baht,0,1219350,12.16
18478132,38250350,34146150,28/12/25 at 06:57,-,0,4104200,12.02
18547176,12061900,10772600,28/12/25 at 06:59,-,0,1289300,11.97
18339537,5036250,4500750,26/12/25 at 06:42,-,0,535500,11.9
18353884,4545450,4069550,28/12/25 at 07:39,-,0,475900,11.69
18178515,3791950,3403850,27/12/25 at 06:49,-,0,388100,11.4
18250359,56842250,51029350,28/12/25 at 07:03,-,0,5812900,11.39
18330557,3287000,2951400,28/12/25 at 06:33,-,0,335600,11.37
18638817,136303300,122500000,26/12/25 at 15:06,-,0,13803300,11.27
18057145,18800200,16926700,26/12/25 at 06:52,-,0,1873500,11.07
18155919,12512450,11269200,28/12/25 at 07:20,11.269.200 baht,0,1243250,11.03
18506268,11308400,10189350,26/12/25 at 06:42,10.189.350 baht,0,1119050,10.98
18266678,5017850,4529500,27/12/25 at 07:01,4.529.500 baht,0,488350,10.78
18219190,26382250,23858750,28/12/25 at 07:32,-,0,2523500,10.58
18006229,7396250,6693150,26/12/25 at 06:55,6.693.150 baht,0,703100,10.5
18530901,14493050,13121450,26/12/25 at 07:05,-,0,1371600,10.45
18346818,12040200,10925600,26/12/25 at 07:00,10.925.600 baht,0,1114600,10.2
18423689,4674650,4242450,26/12/25 at 06:52,-,0,432200,10.19
18547776,12885300,11706100,26/12/25 at 07:09,-,0,1179200,10.07
18177830,57635450,52500000,28/12/25 at 08:48,52.500.000 baht,0,5135450,9.78
18343502,7289000,6641850,27/12/25 at 07:04,6.641.850 baht,0,647150,9.74
18561725,15882950,14498300,27/12/25 at 06:45,-,0,1384650,9.55
18254663,54857450,50100000,28/12/25 at 07:18,-,0,4757450,9.5
18249770,3354050,3063550,27/12/25 at 07:29,-,0,290500,9.48
18345497,9103700,8320750,26/12/25 at 07:06,8.320.750 baht,0,782950,9.41
18221143,4337600,3964900,27/12/25 at 06:39,3.964.900 baht,0,372700,9.4
18342903,13149350,12045800,27/12/25 at 06:48,-,0,1103550,9.16
18368752,25999900,23820600,27/12/25 at 06:42,-,0,2179300,9.15
18547383,98215700,90000000,28/12/25 at 09:27,-,0,8215700,9.13
18539106,81691900,75000000,29/12/25 at 20:51,-,0,6691900,8.92
18447387,38097100,35000000,26/12/25 at 05:58,-,0,3097100,8.85
18254974,57047100,52500000,29/12/25 at 20:52,-,0,4547100,8.66
18335696,81467200,75000000,31/12/25 at 00:13,-,0,6467200,8.62
18454467,14079050,12970950,28/12/25 at 07:11,12.970.950 baht,0,1108100,8.54
18357465,3359500,3095500,26/12/25 at 06:48,-,0,264000,8.53
18433188,8581550,7911200,26/12/25 at 07:28,7.911.200 baht,0,670350,8.47
18336354,21193850,19601900,26/12/25 at 06:30,-,0,1591950,8.12
18419124,16670150,15438300,28/12/25 at 06:36,-,0,1231850,7.98
18454738,43118300,39950000,27/12/25 at 16:48,-,0,3168300,7.93
18571107,55432000,51367950,27/12/25 at 07:02,-,0,4064050,7.91
18137323,16295400,15109650,28/12/25 at 07:12,-,0,1185750,7.85
18285053,28227200,26242550,28/12/25 at 06:34,-,0,1984650,7.56
18319230,61769600,57500000,27/12/25 at 13:35,-,0,4269600,7.43
18610498,24221500,22563200,26/12/25 at 09:21,22.563.200 baht,0,1658300,7.35
18433830,53664450,50000000,28/12/25 at 03:54,-,0,3664450,7.33
18441548,74561750,69500000,28/12/25 at 20:35,-,0,5061750,7.28
18306123,32190400,30098000,29/12/25 at 23:22,-,0,2092400,6.95
18308759,59640500,55763500,29/12/25 at 23:22,-,0,3877000,6.95
17993976,26124750,24446500,29/12/25 at 23:21,-,0,1678250,6.86
18453369,23660700,22142950,26/12/25 at 06:37,22.142.950 baht,0,1517750,6.85
18472990,6135950,5745900,26/12/25 at 07:37,5.745.900 baht,0,390050,6.79
18372517,93440400,87500000,26/12/25 at 10:17,-,0,5940400,6.79
18419147,14450450,13551850,27/12/25 at 06:34,-,0,898600,6.63
18239738,4725450,4434350,28/12/25 at 06:41,4.434.350 baht,0,291100,6.56
18323266,3944000,3708650,28/12/25 at 07:12,-,0,235350,6.35
18274277,68941200,65000000,28/12/25 at 08:56,-,0,3941200,6.06
18375910,16838300,15878150,27/12/25 at 07:09,-,0,960150,6.05
18417108,30335300,28604300,27/12/25 at 06:30,-,0,1731000,6.05
18275222,42391950,40000000,26/12/25 at 15:06,-,0,2391950,5.98
18003811,10238300,9663950,26/12/25 at 06:30,9.663.950 baht,0,574350,5.94
